#################### 66.5400009155273% de validaciones correctas ####################


2022-08-13T20:42:00.198716400 --- [PEDIDO]= 61 296 101 256; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:02.912820100 --- [PEDIDO]= 16 129 19 86; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:03.113889 --- [PEDIDO]= 72 179 98 223; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:03.238885 --- [PEDIDO]= 89 157 162 166; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:03.437465800 --- [PEDIDO]= 94 18 172 9; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:03.554177800 --- [PEDIDO]= 160 67 296 242; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:03.749368 --- [PEDIDO]= 2 170 65 117; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-13T20:42:03.859995900 --- [PEDIDO]= 180 220 284 73; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:04.018272400 --- [PEDIDO]= 199 276 191 28; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:04.188520 --- [PEDIDO]= 293 51 284 123; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-13T20:42:04.391111200 --- [PEDIDO]= 38 155 255 101; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:04.507906900 --- [PEDIDO]= 103 48 4 98; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:04.702965700 --- [PEDIDO]= 62 248 210 228; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-13T20:42:04.882708 --- [PEDIDO]= 259 41 106 14; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-08-13T20:42:04.993613400 --- [PEDIDO]= 286 266 52 187; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:05.159214300 --- [PEDIDO]= 152 274 225 62; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-08-15T20:42:17.697125600 --- [PEDIDO]= 168 38 85 97; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-15T20:42:17.888667200 --- [PEDIDO]= 32 3 246 106; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:18.012178700 --- [PEDIDO]= 127 125 226 119; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:18.210120200 --- [PEDIDO]= 59 35 59 17; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:18.326620200 --- [PEDIDO]= 208 281 63 66; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-08-15T20:42:18.560343700 --- [PEDIDO]= 17 178 33 174; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-15T20:42:18.687357700 --- [PEDIDO]= 108 222 129 299; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-15T20:42:18.851223500 --- [PEDIDO]= 63 249 119 59; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-15T20:42:19.046771700 --- [PEDIDO]= 290 147 277 162; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-08-15T20:42:19.164236300 --- [PEDIDO]= 69 53 170 231; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-15T20:42:19.367750600 --- [PEDIDO]= 298 252 5 84; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:19.481796600 --- [PEDIDO]= 278 285 255 131; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:19.648818300 --- [PEDIDO]= 164 97 109 169; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-08-15T20:42:19.855580 --- [PEDIDO]= 278 233 212 200; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:20.016545700 --- [PEDIDO]= 21 198 268 99; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-08-15T20:42:20.133196200 --- [PEDIDO]= 228 62 165 32; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:20.289880700 --- [PEDIDO]= 81 133 95 62; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:20.512312900 --- [PEDIDO]= 145 72 0 57; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-15T20:42:20.638576100 --- [PEDIDO]= 144 113 176 94; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-15T20:42:20.830711600 --- [PEDIDO]= 196 231 50 150; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-15T20:42:20.961458600 --- [PEDIDO]= 201 8 54 83; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-15T20:42:21.165800300 --- [PEDIDO]= 73 102 101 300; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-15T20:42:21.326031700 --- [PEDIDO]= 148 202 178 2; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-15T20:42:21.445029800 --- [PEDIDO]= 257 1 122 211; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-15T20:42:21.639655600 --- [PEDIDO]= 210 241 237 236; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-08-15T20:42:21.757651800 --- [PEDIDO]= 180 167 203 205; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-15T20:42:21.949499300 --- [PEDIDO]= 98 287 218 272; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-08-15T20:42:22.070066200 --- [PEDIDO]= 15 31 293 88; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-15T20:42:22.250025500 --- [PEDIDO]= 30 205 181 180; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-15T20:42:22.358037500 --- [PEDIDO]= 42 230 191 85; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:35.598840300 --- [PEDIDO]= 258 38 129 184; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:35.748319700 --- [PEDIDO]= 139 8 191 177; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-22T20:42:35.940332300 --- [PEDIDO]= 128 136 169 107; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-08-22T20:42:36.111207600 --- [PEDIDO]= 72 115 44 281; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-22T20:42:36.231532 --- [PEDIDO]= 256 163 173 123; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-22T20:42:36.428553700 --- [PEDIDO]= 82 248 109 165; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:36.587457700 --- [PEDIDO]= 78 86 37 181; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:36.751495200 --- [PEDIDO]= 41 279 198 269; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-08-22T20:42:36.865026100 --- [PEDIDO]= 91 244 138 94; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-22T20:42:37.063631500 --- [PEDIDO]= 99 297 28 62; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-22T20:42:37.184662200 --- [PEDIDO]= 90 105 94 294; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-08-22T20:42:37.387254900 --- [PEDIDO]= 84 159 26 193; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-22T20:42:37.591415800 --- [PEDIDO]= 168 124 283 200; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-08-22T20:42:37.698982800 --- [PEDIDO]= 220 164 162 241; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:37.912068100 --- [PEDIDO]= 217 278 178 242; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-08-22T20:42:38.031322200 --- [PEDIDO]= 58 74 153 209; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:38.206894400 --- [PEDIDO]= 292 185 119 113; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:38.314108700 --- [PEDIDO]= 31 78 276 38; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:38.501799400 --- [PEDIDO]= 57 0 198 157; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:38.687085100 --- [PEDIDO]= 42 62 264 251; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-22T20:42:38.801641500 --- [PEDIDO]= 273 268 83 175; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-22T20:42:38.988133 --- [PEDIDO]= 287 148 17 195; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:39.110162 --- [PEDIDO]= 32 87 258 268; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-22T20:42:39.311484 --- [PEDIDO]= 147 103 99 48; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-22T20:42:39.438086700 --- [PEDIDO]= 260 109 233 227; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:39.629058900 --- [PEDIDO]= 8 267 191 77; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:39.738945700 --- [PEDIDO]= 176 158 53 220; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-22T20:42:39.935432500 --- [PEDIDO]= 232 173 54 100; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-22T20:42:40.045738900 --- [PEDIDO]= 208 112 76 71; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-22T20:42:40.374538300 --- [PEDIDO]= 236 222 218 128; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-30T20:42:43.827181800 --- [PEDIDO]= 101 61 222 101; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-30T20:42:43.949674 --- [PEDIDO]= 144 137 107 225; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-30T20:42:44.103505500 --- [PEDIDO]= 230 220 47 231; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:44.294216700 --- [PEDIDO]= 241 81 269 104; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:44.417386300 --- [PEDIDO]= 264 163 164 265; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-08-30T20:42:44.609158200 --- [PEDIDO]= 163 140 47 281; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-30T20:42:44.740157700 --- [PEDIDO]= 34 201 38 193; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-30T20:42:44.881269100 --- [PEDIDO]= 189 37 153 50; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:45.072810300 --- [PEDIDO]= 300 130 267 180; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:45.185348100 --- [PEDIDO]= 290 193 82 207; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-30T20:42:45.338032300 --- [PEDIDO]= 257 269 92 185; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:45.511929400 --- [PEDIDO]= 88 1 284 3; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-08-30T20:42:45.681394500 --- [PEDIDO]= 283 63 191 108; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:45.836586700 --- [PEDIDO]= 231 232 197 118; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-08-30T20:42:46.045931200 --- [PEDIDO]= 102 80 98 41; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-08-30T20:42:46.237427600 --- [PEDIDO]= 123 34 89 175; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-30T20:42:46.352996700 --- [PEDIDO]= 164 98 140 11; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-08-30T20:42:46.548146800 --- [PEDIDO]= 232 263 128 45; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:46.706265900 --- [PEDIDO]= 238 289 283 248; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:46.814799900 --- [PEDIDO]= 15 42 159 217; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:47.003174900 --- [PEDIDO]= 119 114 59 279; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-30T20:42:47.124499400 --- [PEDIDO]= 150 49 7 152; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-30T20:42:47.310100800 --- [PEDIDO]= 162 294 171 68; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:47.426300600 --- [PEDIDO]= 280 32 234 184; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:47.584980900 --- [PEDIDO]= 175 120 32 170; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-08-30T20:42:47.785547100 --- [PEDIDO]= 218 272 223 288; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:47.901615500 --- [PEDIDO]= 67 143 158 276; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-30T20:42:48.097859500 --- [PEDIDO]= 241 255 112 196; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-30T20:42:48.220396700 --- [PEDIDO]= 211 97 21 34; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-30T20:42:48.417640300 --- [PEDIDO]= 235 170 28 39; --- [Usuario]=1[VERICIDAD FIRMA]= true
