#################### 74.44444% de validaciones correctas ####################

2022-10-26T20:39:28.145623700 --- [PEDIDO]= 165 295 129 251; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:32.267988300 --- [PEDIDO]= 219 211 265 179; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:32.460994200 --- [PEDIDO]= 66 154 114 169; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:32.651466 --- [PEDIDO]= 173 184 133 245; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-10-26T20:39:32.833230200 --- [PEDIDO]= 248 245 215 274; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-10-26T20:39:33.038007600 --- [PEDIDO]= 91 283 264 56; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:33.243007800 --- [PEDIDO]= 91 38 205 71; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-10-26T20:39:33.433536900 --- [PEDIDO]= 217 262 167 236; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-26T20:39:33.611107100 --- [PEDIDO]= 192 126 18 240; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:33.783672600 --- [PEDIDO]= 234 107 288 136; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-10-26T20:39:33.957209400 --- [PEDIDO]= 74 129 266 78; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:34.142880300 --- [PEDIDO]= 70 10 273 195; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-10-20T20:39:55.846123 --- [PEDIDO]= 166 228 253 147; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:39:55.963717300 --- [PEDIDO]= 236 28 269 72; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:39:56.155243400 --- [PEDIDO]= 133 297 247 208; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:39:56.282581100 --- [PEDIDO]= 172 78 56 216; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-20T20:39:56.469595400 --- [PEDIDO]= 15 142 68 257; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-20T20:39:56.611282700 --- [PEDIDO]= 182 14 146 226; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-20T20:39:56.781761400 --- [PEDIDO]= 221 260 165 204; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-20T20:39:56.987567600 --- [PEDIDO]= 72 184 130 38; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-20T20:39:57.119748900 --- [PEDIDO]= 88 214 229 56; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-10-20T20:39:57.307880900 --- [PEDIDO]= 176 299 90 295; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-20T20:39:57.474335400 --- [PEDIDO]= 151 131 281 133; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-20T20:39:57.628220200 --- [PEDIDO]= 60 249 260 210; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:39:57.752072200 --- [PEDIDO]= 181 223 211 96; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-10-20T20:39:57.958182300 --- [PEDIDO]= 188 213 114 235; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-20T20:39:58.122196 --- [PEDIDO]= 181 162 291 190; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-20T20:39:58.312858300 --- [PEDIDO]= 228 225 37 199; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:39:58.484803800 --- [PEDIDO]= 37 222 250 164; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-20T20:39:58.654582700 --- [PEDIDO]= 99 189 132 19; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-10-20T20:39:58.814481300 --- [PEDIDO]= 217 187 191 162; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:39:58.932481 --- [PEDIDO]= 159 76 182 73; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-10-20T20:39:59.150433900 --- [PEDIDO]= 183 247 249 3; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-20T20:39:59.326690500 --- [PEDIDO]= 234 128 33 228; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:39:59.437690300 --- [PEDIDO]= 173 74 177 294; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:39:59.636863200 --- [PEDIDO]= 273 44 222 259; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-20T20:39:59.803580900 --- [PEDIDO]= 190 21 93 268; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-10-20T20:39:59.971827500 --- [PEDIDO]= 82 82 106 207; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-10-20T20:40:00.216156200 --- [PEDIDO]= 256 184 170 113; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:40:00.342922600 --- [PEDIDO]= 243 239 86 24; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-20T20:40:00.540386200 --- [PEDIDO]= 238 62 216 56; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-20T20:40:00.671155300 --- [PEDIDO]= 156 51 58 120; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-10-30T20:40:35.161927 --- [PEDIDO]= 170 189 75 6; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-10-30T20:40:35.291580400 --- [PEDIDO]= 221 238 277 33; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-30T20:40:35.499311900 --- [PEDIDO]= 122 117 165 107; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:35.616921900 --- [PEDIDO]= 289 32 124 189; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-10-30T20:40:35.824819500 --- [PEDIDO]= 32 131 2 94; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-10-30T20:40:35.949875300 --- [PEDIDO]= 120 28 118 122; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-30T20:40:36.113750600 --- [PEDIDO]= 182 209 5 13; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-30T20:40:36.328737900 --- [PEDIDO]= 224 55 237 125; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:36.553712600 --- [PEDIDO]= 262 10 35 170; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:36.739284700 --- [PEDIDO]= 22 299 258 77; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-30T20:40:36.855985400 --- [PEDIDO]= 216 57 86 113; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:37.058689900 --- [PEDIDO]= 138 227 50 117; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-30T20:40:37.207684 --- [PEDIDO]= 13 165 217 279; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-10-30T20:40:37.392359200 --- [PEDIDO]= 25 59 273 61; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:37.512674500 --- [PEDIDO]= 147 8 299 68; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-30T20:40:37.702525500 --- [PEDIDO]= 69 90 186 167; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:37.824426800 --- [PEDIDO]= 261 103 85 186; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:38.016141300 --- [PEDIDO]= 261 49 298 237; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:38.139908800 --- [PEDIDO]= 290 222 166 124; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:38.333027500 --- [PEDIDO]= 23 53 225 20; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-30T20:40:38.456024500 --- [PEDIDO]= 70 255 33 132; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-30T20:40:38.648743100 --- [PEDIDO]= 107 274 265 53; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:38.828615800 --- [PEDIDO]= 62 202 50 29; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-30T20:40:38.963621400 --- [PEDIDO]= 29 98 142 293; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-30T20:40:39.154081600 --- [PEDIDO]= 245 90 128 169; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-10-30T20:40:39.277698900 --- [PEDIDO]= 175 146 162 71; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-30T20:40:39.458389100 --- [PEDIDO]= 168 1 48 293; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-10-30T20:40:39.578560100 --- [PEDIDO]= 22 23 260 95; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-30T20:40:39.745164800 --- [PEDIDO]= 277 19 101 220; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-30T20:40:39.957720200 --- [PEDIDO]= 270 209 144 252; --- [Usuario]=1[VERICIDAD FIRMA]= false
